State Vector Calculation


Calculation Inputs

Calculation type     = State Vector
Target type          = Object
Target               = sun
Observer type        = Object
Observer             = earth
Reference frame      = ITRF93
Light propagation    = No correction
Time system          = UTC
Time format          = Calendar date and time
Time range           = Jan 1 2016 00:00:00 to Dec 31 2017 00:00:00
Step                 = 1 hours
State representation = Rectangular


State Vector Results

UTC calendar date               Distance (km)       Speed (km/s)    X (km)               Y (km)               Z (km)              dX/dt (km/s)     dY/dt (km/s)     dZ/dt (km/s)  Time at Target                  Light Time (s)
2016-01-03 14:00:00.000000 UTC  147100322.48926166   9855.82754138   118661437.48394223   -65566037.25458048  -57088202.71667534   -4765.59742158   -8627.07429372    2.62136150  2016-01-03 14:00:00.000000 UTC    490.67385974
2016-01-03 15:00:00.000000 UTC  147100342.32867460   9856.12119013    97659178.48442924   -94038355.37715730  -57078746.38531512   -6835.66955494   -7100.47461241    2.63225337  2016-01-03 15:00:00.000000 UTC    490.67392592
2016-01-03 16:00:00.000000 UTC  147100363.41229670   9856.41583239    70004411.41719604  -116107708.67997777  -57069249.89210150   -8440.31106061   -5090.19403091    2.64364435  2016-01-03 16:00:00.000000 UTC    490.67399625
2016-01-03 17:00:00.000000 UTC  147100385.73767778   9856.71146764    37580211.34757134  -130270643.24483813  -57059711.77478539   -9470.20739159   -2733.11651153    2.65534395  2016-01-03 17:00:00.000000 UTC    490.67407072
2016-01-03 18:00:00.000000 UTC  147100409.30236843   9857.00809500     2594596.43902286  -135562092.80254924  -57050131.29902476   -9855.18113086    -189.75339066    2.66714053  2016-01-03 18:00:00.000000 UTC    490.67414932
2016-01-03 19:00:00.000000 UTC  147100434.10391974   9857.30571326   -32569832.26888009  -131621138.60838944  -57040508.50903941   -9568.97389907    2366.68698133    2.67881566  2016-01-03 19:00:00.000000 UTC    490.67423205
2016-01-03 20:00:00.000000 UTC  147100460.13988355   9857.60432129   -65518150.47441495  -118715627.18840894  -57030844.22520931   -8631.03740970    4762.09501695    2.69015908  2016-01-03 20:00:00.000000 UTC    490.67431890
2016-01-03 21:00:00.000000 UTC  147100487.40781236   9857.90391827   -94006219.49445549   -97723966.79621856  -57021139.98849715   -7105.21150336    6833.31777828    2.70098298  2016-01-03 21:00:00.000000 UTC    490.67440985
2016-01-03 22:00:00.000000 UTC  147100515.90525943   9858.20450349  -116093535.77609497   -70075339.69717851  -57011397.95622511   -5095.37900035    8439.27138592    2.71113466  2016-01-03 22:00:00.000000 UTC    490.67450491
2016-01-03 23:00:00.000000 UTC  147100545.62977870   9858.50607601  -130275410.41890569   -37652399.60334822  -57001620.75655454   -2738.39311339    9470.55108249    2.72050678  2016-01-03 23:00:00.000000 UTC    490.67460406
2016-01-04 00:00:00.000000 UTC  147100576.57892525   9858.80863461  -135585475.19805232    -2663078.80966509  -56991811.31025849    -194.75893455    9856.88435579    2.72904511  2016-01-04 00:00:00.000000 UTC    490.67470730
2016-01-04 01:00:00.000000 UTC  147100608.75025484   9859.11217805  -131661531.94006513    32509766.17782234  -56981972.63129872    2362.29649940    9571.91938425    2.73675237  2016-01-04 01:00:00.000000 UTC    490.67481461
2016-01-04 02:00:00.000000 UTC  147100642.14132413   9859.41670520  -118770258.20679955    65470631.86637439  -56972107.62204387    4758.62127260    8635.02251433    2.74368732  2016-01-04 02:00:00.000000 UTC    490.67492599
2016-01-04 03:00:00.000000 UTC  147100676.74969098   9859.72221508   -97789084.08389840    93974516.51741627  -56962218.87854421    6830.99938987    7109.96216107    2.74996049  2016-01-04 03:00:00.000000 UTC    490.67504143
2016-01-04 04:00:00.000000 UTC  147100712.57291406   9860.02870730   -70146471.66821033   116079829.02622859  -56952308.51512146    8438.26752318    5100.56856849    2.75572768  2016-01-04 04:00:00.000000 UTC    490.67516092
2016-01-04 05:00:00.000000 UTC  147100749.60855317   9860.33618087   -37724661.96138883   130280643.23176655  -56942378.01861068    9470.93053834    2743.66483259    2.76117941  2016-01-04 05:00:00.000000 UTC    490.67528446
2016-01-04 06:00:00.000000 UTC  147100787.85416955   9860.64463361    -2731510.33151030   135609289.00243375  -56932428.14846958    9858.62083114     199.75045531    2.76652725  2016-01-04 06:00:00.000000 UTC    490.67541204
2016-01-04 07:00:00.000000 UTC  147100827.30732530   9860.95406674    32449862.63400670   131702291.11169681  -56922458.88455194    9574.89331421   -2357.92821011    2.77198998  2016-01-04 07:00:00.000000 UTC    490.67554364
2016-01-04 08:00:00.000000 UTC  147100867.96558400   9861.26447795    65423366.55133306   118825162.69226475  -56912469.42871933    8639.02929763   -4755.17635663    2.77777862  2016-01-04 08:00:00.000000 UTC    490.67567926
2016-01-04 09:00:00.000000 UTC  147100909.82651052   9861.57586703    93943130.37780306    97854362.04217707  -56902458.25906660    7114.72623874   -6828.71447477    2.78408216  2016-01-04 09:00:00.000000 UTC    490.67581889
2016-01-04 10:00:00.000000 UTC  147100952.88767117   9861.88823315   116066471.08302650    70217638.87701040  -56892423.23307718    5105.76237446   -8437.29946776    2.79105427  2016-01-04 10:00:00.000000 UTC    490.67596253
